amount,date,spender,recipient
1849886.9,2012-01-01,Gemeinde und Behörden (GuB),Stadtrat (light)
1900413.38,2011-01-01,Gemeinde und Behörden (GuB),Stadtrat (light)
1797597.86,2010-01-01,Gemeinde und Behörden (GuB),Stadtrat (light)
1997649.72,2009-01-01,Gemeinde und Behörden (GuB),Stadtrat (light)
393506.34,2012-01-01,Gemeinde und Behörden (GuB),Ombudsstelle
390700.94,2011-01-01,Gemeinde und Behörden (GuB),Ombudsstelle
328040.58,2010-01-01,Gemeinde und Behörden (GuB),Ombudsstelle
335532.36,2009-01-01,Gemeinde und Behörden (GuB),Ombudsstelle
3461815.0,2012-01-01,Gemeinde und Behörden (GuB),Gemeinderat (light)
3260230.6,2011-01-01,Gemeinde und Behörden (GuB),Gemeinderat (light)
3390936.64,2010-01-01,Gemeinde und Behörden (GuB),Gemeinderat (light)
3266188.09,2009-01-01,Gemeinde und Behörden (GuB),Gemeinderat (light)
5379086.61,2012-01-01,Gemeinde und Behörden (GuB),Stadtkanzlei
4905416.95,2011-01-01,Gemeinde und Behörden (GuB),Stadtkanzlei
6316752.17,2010-01-01,Gemeinde und Behörden (GuB),Stadtkanzlei
5401009.22,2009-01-01,Gemeinde und Behörden (GuB),Stadtkanzlei
1098030.67,2012-01-01,Gemeinde und Behörden (GuB),Informationsdienst  (light)
1035297.5,2011-01-01,Gemeinde und Behörden (GuB),Informationsdienst  (light)
910052.28,2010-01-01,Gemeinde und Behörden (GuB),Informationsdienst  (light)
971333.17,2009-01-01,Gemeinde und Behörden (GuB),Informationsdienst  (light)
1550904.6,2012-01-01,Gemeinde und Behörden (GuB),Finanzinspektorat (light)
1599073.94,2011-01-01,Gemeinde und Behörden (GuB),Finanzinspektorat (light)
1625274.52,2010-01-01,Gemeinde und Behörden (GuB),Finanzinspektorat (light)
1836016.91,2009-01-01,Gemeinde und Behörden (GuB),Finanzinspektorat (light)
4345531.25,2012-01-01,Präsidialdirektion (PRD),Direktionsstabsdienste und Gleichstellung
4705544.94,2011-01-01,Präsidialdirektion (PRD),Direktionsstabsdienste und Gleichstellung
5167255.51,2010-01-01,Präsidialdirektion (PRD),Direktionsstabsdienste und Gleichstellung
6290787.52,2009-01-01,Präsidialdirektion (PRD),Direktionsstabsdienste und Gleichstellung
35645989.71,2012-01-01,Präsidialdirektion (PRD),Abteilung Kulturelles
34895206.35,2011-01-01,Präsidialdirektion (PRD),Abteilung Kulturelles
34788039.69,2010-01-01,Präsidialdirektion (PRD),Abteilung Kulturelles
34879708.38,2009-01-01,Präsidialdirektion (PRD),Abteilung Kulturelles
1172182.82,2012-01-01,Präsidialdirektion (PRD),Denkmalpflege
1081280.4,2011-01-01,Präsidialdirektion (PRD),Denkmalpflege
1193172.13,2010-01-01,Präsidialdirektion (PRD),Denkmalpflege
1111012.84,2009-01-01,Präsidialdirektion (PRD),Denkmalpflege
2322101.25,2012-01-01,Präsidialdirektion (PRD),Abteilung Stadtentwicklung
2467320.24,2011-01-01,Präsidialdirektion (PRD),Abteilung Stadtentwicklung
2335335.64,2010-01-01,Präsidialdirektion (PRD),Abteilung Stadtentwicklung
